fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards
974325,2023-01-22 23:06:00+00:00,F. Guerrero,Monterrey,Atletico San Luis,3,1,3,3,6,1,1,2
974326,2023-01-22 01:10:00+00:00,Ó. Mejía,Club America,Puebla,2,2,15,2,17,1,6,7
974327,2023-01-22 03:10:00+00:00,M. Ortíz,Guadalajara Chivas,Toluca,1,2,6,4,10,0,1,1
974328,2023-01-22 03:10:00+00:00,J. Camacho,Necaxa,Cruz Azul,1,0,2,8,10,6,3,9
974329,2023-01-22 18:00:00+00:00,E. Morales,U.N.A.M. - Pumas,Leon,4,1,2,6,8,3,1,4
974330,2023-01-22 23:00:00+00:00,Ó. Macías,Club Queretaro,Atlas,3,3,5,3,8,1,1,2
974331,2023-01-23 01:10:00+00:00,I. Lopez,CF Pachuca,FC Juarez,4,1,5,6,11,1,2,3
974332,2023-01-27 03:05:00+00:00,M. Ortíz,Atlas,Santos Laguna,2,2,9,1,10,3,1,4
974333,2023-01-28 01:05:00+00:00,J. Lopez,Puebla,Monterrey,1,2,6,6,12,2,2,4
974334,2023-01-28 03:05:00+00:00,I. Lopez,Club Tijuana,U.N.A.M. - Pumas,0,0,12,3,15,2,5,7
974336,2023-01-29 01:05:00+00:00,D. Montaño,Tigres UANL,Atletico San Luis,0,0,10,0,10,1,2,3
974337,2023-01-29 03:05:00+00:00,L. Santander,Club America,Mazatlán,6,0,5,4,9,2,4,6
974338,2023-01-29 03:05:00+00:00,C. Ramos,FC Juarez,Guadalajara Chivas,1,2,9,2,11,0,0,0
974339,2023-01-29 18:00:00+00:00,A. Escobedo,Toluca,Leon,0,0,12,1,13,1,7,8
974340,2023-01-30 01:00:00+00:00,V. Cáceres,CF Pachuca,Necaxa,2,1,9,4,13,2,3,5
973613,2023-02-02 02:05:00+00:00,L. Santander,Atlas,Toluca,0,0,5,7,12,1,2,3
974341,2023-02-03 03:00:00+00:00,A. Escobedo,Atletico San Luis,Puebla,2,0,4,7,11,3,3,6
974342,2023-02-04 01:00:00+00:00,C. Ramos,Necaxa,Club Tijuana,1,1,8,2,10,3,7,10
974343,2023-02-04 03:05:00+00:00,M. Ortíz,Mazatlán,FC Juarez,2,3,6,3,9,1,3,4
974344,2023-02-04 23:00:00+00:00,G. Pacheco,Leon,CF Pachuca,0,1,10,4,14,3,5,8
974345,2023-02-05 01:05:00+00:00,L. Santander,Cruz Azul,Tigres UANL,0,1,5,4,9,1,1,2
974346,2023-02-05 03:05:00+00:00,D. Montaño,Santos Laguna,Club America,2,2,5,7,12,3,2,5
974347,2023-02-05 18:00:00+00:00,D. Quintero,U.N.A.M. - Pumas,Atlas,2,2,4,5,9,6,4,10
974348,2023-02-05 23:00:00+00:00,E. Morales,Guadalajara Chivas,Club Queretaro,1,1,7,3,10,1,2,3
974349,2023-02-06 01:10:00+00:00,V. Cáceres,Monterrey,Toluca,2,1,3,9,12,3,1,4
